days,time,errands,escort,home,leisure,shopping,workplace
sunday,12.5,0.0047136,0.0021496,0.0123161,0.0198367,0.0011681,0.0003
sunday,13.0,0.0047136,0.0021496,0.0123161,0.0198367,0.0011681,0.0003
sunday,13.5,0.0047136,0.0021496,0.0123161,0.0198367,0.0011681,0.0003
sunday,14.0,0.0043885,0.0023976,0.015053,0.0232569,0.0008344,0.0003
sunday,14.5,0.0043885,0.0023976,0.015053,0.0232569,0.0008344,0.0003
sunday,15.0,0.0043885,0.0023976,0.015053,0.0232569,0.0008344,0.0003
sunday,15.5,0.0043885,0.0023976,0.015053,0.0232569,0.0008344,0.0003
sunday,16.0,0.0043885,0.0023976,0.015053,0.0232569,0.0008344,0.0003
sunday,16.5,0.0043885,0.0023976,0.015053,0.0232569,0.0008344,0.0002
sunday,17.0,0.0030882,0.0017362,0.0225795,0.0116284,0.0003337,0.0002
sunday,17.5,0.0030882,0.0017362,0.0225795,0.0116284,0.0003337,0.0002
sunday,18.0,0.0030882,0.0017362,0.0225795,0.0116284,0.0003337,0.0002
sunday,18.5,0.0030882,0.0017362,0.0225795,0.0116284,0.0003337,0.0002
sunday,19.0,0.0030882,0.0017362,0.0225795,0.0116284,0.0003337,0.0002
sunday,19.5,0.0030882,0.0017362,0.0225795,0.0116284,0.0003337,0.0002
sunday,20.0,0.0008127,0.0007441,0.0109477,0.0034201,0.0001112,0.0002
sunday,20.5,0.0008127,0.0007441,0.0109477,0.0034201,0.0001112,0.0002
sunday,21.0,0.0008127,0.0007441,0.0109477,0.0034201,0.0001112,0.0002
sunday,21.5,0.0008127,0.0007441,0.0109477,0.0034201,0.0001112,0.0002
sunday,22.0,0.0008127,0.0007441,0.0109477,0.0034201,0.0001112,0.0001
sunday,22.5,0.0008127,0.0007441,0.0109477,0.0034201,0.0001112,0.0001
sunday,23.0,6.97e-05,7.09e-05,0.0014662,0.0002932,0.0,0.0001
sunday,23.5,6.97e-05,7.09e-05,0.0014662,0.0002932,0.0,0.0001
weekdays,0.0,0.0001201,5.54e-05,0.0012633,0.0002879,0.0,0.00017999999999999998
weekdays,0.5,0.0001201,5.54e-05,0.0012633,0.0002879,0.0,0.00017999999999999998
weekdays,1.0,0.0001201,5.54e-05,0.0012633,0.0002879,0.0,0.00017999999999999998
weekdays,1.5,0.0001201,5.54e-05,0.0012633,0.0002879,0.0,0.00017999999999999998
weekdays,2.0,0.0001201,5.54e-05,0.0012633,0.0002879,0.0,0.00017999999999999998
weekdays,2.5,0.0001201,5.54e-05,0.0012633,0.0002879,0.0,0.00017999999999999998
weekdays,3.0,0.0001201,5.54e-05,0.0012633,0.0002879,0.0,0.00017999999999999998
weekdays,3.5,0.0001201,5.54e-05,0.0012633,0.0002879,0.0,0.00017999999999999998
weekdays,4.0,0.0001201,5.54e-05,0.0012633,0.0002879,0.0,0.00017999999999999998
weekdays,4.5,0.0001201,5.54e-05,0.0012633,0.0002879,0.0,0.00017999999999999998
weekdays,5.0,0.0001201,5.54e-05,0.0012633,0.0002879,0.0,0.001333
weekdays,5.5,0.0001201,5.54e-05,0.0012633,0.0002879,0.0,0.001333
weekdays,6.0,0.0016849,0.0012179,0.0009807,0.0013436,0.0010059,0.001333
weekdays,6.5,0.0016849,0.0012179,0.0009807,0.0013436,0.0010059,0.001333
weekdays,7.0,0.0016849,0.0012179,0.0009807,0.0013436,0.0010059,0.001333
weekdays,7.5,0.0016849,0.0012179,0.0009807,0.0013436,0.0010059,0.001333
weekdays,8.0,0.0016849,0.0012179,0.0009807,0.0013436,0.0010059,0.001333
weekdays,8.5,0.0016849,0.0012179,0.0009807,0.0013436,0.0010059,0.0009299999999999999
weekdays,9.0,0.0070564,0.0021178,0.01472745,0.0070485,0.00145658,0.0009299999999999999
weekdays,9.5,0.0070564,0.0021178,0.01472745,0.0070485,0.00145658,0.0009299999999999999
weekdays,10.0,0.0070564,0.0021178,0.01472745,0.0070485,0.00145658,0.0009299999999999999
weekdays,10.5,0.0070564,0.0021178,0.01472745,0.0070485,0.00145658,0.0009299999999999999
weekdays,11.0,0.0092758,0.0008981,0.029460300000000002,0.0077203,0.0070564,0.00039
weekdays,11.5,0.0092758,0.0008981,0.029460300000000002,0.0077203,0.0070564,0.00039
weekdays,12.0,0.0092758,0.0008981,0.029460300000000002,0.0077203,0.0070564,0.00039
weekdays,12.5,0.0092758,0.0008981,0.029460300000000002,0.0077203,0.0070564,0.00039
weekdays,13.0,0.0092758,0.0008981,0.029460300000000002,0.0077203,0.0070564,0.00039
weekdays,13.5,0.0092758,0.0008981,0.029460300000000002,0.0077203,0.0070564,0.00033
weekdays,14.0,0.0061827,0.0019256,0.0225843,0.0104039,0.0060282,0.00033
weekdays,14.5,0.0061827,0.0019256,0.0225843,0.0104039,0.0060282,0.00033
weekdays,15.0,0.0061827,0.0019256,0.0225843,0.0104039,0.0060282,0.00033
weekdays,15.5,0.0061827,0.0019256,0.0225843,0.0104039,0.0060282,0.00033
weekdays,16.0,0.0061827,0.0019256,0.0225843,0.0104039,0.0060282,0.00033
weekdays,16.5,0.0061827,0.0019256,0.0225843,0.0104039,0.0060282,8.999999999999999e-05
weekdays,17.0,0.0030931,0.0007041,0.0225843,0.0067144,0.00402,8.999999999999999e-05
weekdays,17.5,0.0030931,0.0007041,0.0225843,0.0067144,0.00402,8.999999999999999e-05
weekdays,18.0,0.0030931,0.0007041,0.0225843,0.0067144,0.00402,8.999999999999999e-05
weekdays,18.5,0.0030931,0.0007041,0.0225843,0.0067144,0.00402,8.999999999999999e-05
weekdays,19.0,0.0030931,0.0007041,0.0225843,0.0067144,0.00402,8.999999999999999e-05
weekdays,19.5,0.0030931,0.0007041,0.0225843,0.0067144,0.00402,8.999999999999999e-05
weekdays,20.0,0.0005604,0.0001293,0.00883755,0.0020154,0.0006682,8.999999999999999e-05
weekdays,20.5,0.0005604,0.0001293,0.00883755,0.0020154,0.0006682,8.999999999999999e-05
weekdays,21.0,0.0005604,0.0001293,0.00883755,0.0020154,0.0006682,8.999999999999999e-05
weekdays,21.5,0.0005604,0.0001293,0.00883755,0.0020154,0.0006682,8.999999999999999e-05
weekdays,22.0,0.0005604,0.0001293,0.00883755,0.0020154,0.0006682,8.999999999999999e-05
weekdays,22.5,0.0005604,0.0001293,0.00883755,0.0020154,0.0006682,0.00017999999999999998
weekdays,23.0,0.0001201,5.54e-05,0.0012633,0.0002879,0.0,0.00017999999999999998
weekdays,23.5,0.0001201,5.54e-05,0.0012633,0.0002879,0.0,0.00017999999999999998
